status,name,description
4,Ангел,"Военная база космического флота циттаков, на которой проводятся официальные межрасовые учения. Доступ для гражданских требует запроса."
2,Феникс,Станция повреждена. Доступ запрещен.
0,Тар-Нагур,"Ксеномир, закрыт для посещения"
4,Последний Рубеж,"Форпост Межпланетарной коалиции, крупная военно-космическая база предназначенная для контроля окружающего космоса и обучения новобранцев. Допуск только для кораблей коалиции, посещение базы закрыто для не-военных структур. "
1,Эдем,"Биологический рай с земной флорой и фауной внутри кибер-купола, подарок Ктрангов после вступления человечества в Галактический Союз. Сейчас является музейным экспонатом, открытым к посещению. Закрыт для постоянного проживания (кроме сотрудников-инженеров)."
1,Икар,Научная станция Межпланетной Коалиции по изучению звездной энергии. 
5,Звезда Пандоры,"Место активных боевых действий, где Межпланетарная коалиция уже 2 год пытается призвать к ответу сепаратистов. Станция гашения регулярно выводится из строя террористами, космос вокруг планеты небезопасен."
0,Вектор Ро,"Ксеномир, закрыт для посещения"
5,Эхо,"Система сепаратистов, законы и ограничения Межпланетной Коалиции не действуют. По последним сообщениям - станция гашения работает стабильно."
0,Nulevaya,nul
3,Пандемониум,Закрытое хранилище данных в пустой системе.
2,Гроза,"Выключенная станция гашения в закрытой системе, не представляет интереса для дальнейшего развития."
1,Око Жизни,"Планета земного типа со стандартной атмосферой, является местом паломничества для ряда хитинидов и представляет для них религиозную ценность. Несмотря на сакральный смысл, который хитиниды вкладывают в посещение, не закрыта от других посетителей."
0,Иррадна,"Ксеномир, закрыт для посещения"
1,Ковчег,"Научная база за планете земного типа. Филиал антропологического университета. Хранилище ДНК всех земных видов. На базе также присутствует отдельная кафедра предназначенная для ксенос-студентов, изучающих человечество."
1,Рагнарёк,"Терраформированный спутник с искуственной атмосферой, обжитый Церковью Последнего Дня. Станция гашения не адаптирована под двигатели ксено-кораблей.  ""Сплотимся перед лицом Рагнарёка!"""
1,Титан-9,"База по добыче метана из озер Титана-9. Работает в условиях -180°C, требует особого оборудования для перемещения по поверхности. Для посетителей: требуется сертификат о безопасности и соглашение о страховании."
1,Нексус,Нейтральный торговый хаб для всех космических фракций. Здесь можно купить всё — от легальных медикаментов до украденных чертежей. Управляется вультурианским синдикатом «Три Кольца».
1,Маяк,"Гала-маяк, передает навигационные и инфосигналы через всю систему. "
0,Вихрь,ДАННЫЕ ПОВРЕЖДЕНЫ. ИНФОРМАЦИЯ ТРЕБУЕТ ДОПУСК КЛАССА 3 И ВЫШЕ.
0,Микротем,"Ксеномир, закрыт для посещения"
1,Зеркало,"Двойная автоматическая станция гашения, принадлежащая конкурирующим корпорациям. Между ними проходит ежелунная гонка на шаттлах в открытом космическом пространстве. Осторожно: возможна астероидная активность."
4,Кибернетический Узел,Научно-исследовательский центр. Информация о нем требует правительственного разрешения. Доступ заблокирован.
4,Орбита Альфа,"Стация центавриан - раньше служила для научных целей, теперь является аванпостом. Обычно закрыта для внешнего посещения и требует дипломатический уровень допуска, но не отказывает при необходимости гуманитарной помощи. "
1,Рейнджер-5,Полицейский аванпост Межпланетарной коалиции. Оценка на космокартах: 5 звезд.
4,Химера,"Научно-исследовательская станция Ксенологического университета, изучающая уникальные условия содержания на планете. Требует разрешение на посещение."
5,Терминатор,"Станция в двойной звездной системе, рядом с одним из родных миров хитинидов. "
1,Тень Луны,Терраформированный спутник со стандартной атмосферой. Дипломатическое консульство Межпланетарной коалиции для обращений граждан. Льготные условия для гашения. Скидка 10% на посещение Музея Объединения Человества ( в посещение входит бесплатная обзорная экскурсия и сопровождение гида).
1,Генератор,"Стабильная автономная станция. Осторожно: система не заселена, планеты подвергаются терраформированию, сигнал бедствия может быть заглушен!"
1,Врата,Терраформированный спутник в стандартной звездной системе. Одна из первых систем заселенных колонистами с Земля-1.
1,Крик,Колония третьего типа в малозаселенной системе. Возможны задержки при прохождении контроля на станцию!
5,Пустошь,"Заброшенная торговая станция в поясе Койпера, ранее принадлежала одной из вультурианских семей. Апдейт: за последние несколько месяцев приходили новости об успешном гашении на данной станции."
0,Ксиллион,"Ксеномир, закрыт для посещения"
0,Цереброн,"Ксеномир, закрыт для посещения"
1,Молчание,"Стандартная станция гашения на планете земного типа. ""Добро пожаловать в новый дом!"""
1,Клинок,"Старое кладбище космических кораблей, помимо станции гашения окружено многочисленными ремонтными мастерскими. Считается, что здесь можно купить что угодно - от биологического движка циттаков до модуля гиперврат вультурианцев, что строго наказывается Галактическим Союзом."
3,Шепот,"Терраформированный спутник, недавно отделившийся от Межпланетной Коалиции. Статус станции неизвестен."
1,Черный Кварц,"Старая автоматическая станция гашения, вокруг которой скопился импровизированный торговый рынок для частных предпринимателей. Регулярно проводит ярмарки и мероприятия. "
1,Сфинкс,Планета на этапе терраформирования со специальной программой для переселенцев. 
1,Странник,"Автономная станция-разведчик на ИИ-управлении. Доступ к гашению открыт, станция не предназначена для содержания людей или ксеносов."
1,Терра Нова,"Крупнейшая земная колония вне Солнечной системы. Отличается крайне лояльными законами о таможне и является основным перевалочным хабом для основных торговых гильдий, из-за чего все цены на ее станциях задраны минимум втрое. С другой стороны, пожалуй лучшее место, чтобы найти для себя любое легальное снаряжение."
4,Глаз Галактики,Научная станция Галактического союза по исследованию материи черных дыр. Осторожно: при посещении возможны временные аномалии! Требует запрос на уровень допуска.
1,Омега,Частная станция гашения Ордена Отказа. Законы Межпланетарной Коалиции не распространяются!
4,Скальпель,"Медицинский центр по генетической модификации. Здесь создают «улучшенных» людей. Последняя партия субъектов развила телепатию, но сошла с ума через 72 часа."
5,Зеро,"Планета с нестабильным магнитным полем, есть сообщения о повреждениях электроники кораблей и вынужденных задержках."
0,Астра-Нокс,"Ксеномир, закрыт для посещения"
1,Молот,Ремонтная верфь со станцией гашения. Высокое качество по стабильным ценам.
4,Клык,"Станция гашения принадлежащая корпорации ""Zenatron"". Здесь проводятся основные тесты и испытания специальной продукции в полевых условиях."
1,Зов,Спасательная автономная станция с мощным гала-излучателем для межсистемных сообщений.
1,Гефсимания,"Религиозная колония, с отказом от технологий. Спуск на поверхность не рекомендуется"
1,Земля,"Стандартная планета земного типа, являющаяся образцом терраформирования. "
1,Гелиос-1,"Автоматизированная станция гашения, рассчитанная на несколько кораблей. Работает стабильно, хотя иногда скапливается очередь на прохождение - время ожидания не более 2 суток. "
1,Матрица,"Корпоративная станция Zenatron по разработке и сборке киборгов и андроидов. Регулярно подвергается нападкам и митингам со стороны борцов за права ИИ, из-за чего отключает внешние станции гашения."
1,Фобос-13,"Станция гашения рядом с военной базой на спутнике Марса-13. Склад списанной техники, включая киберов, андроидов и оружие. Не для продажи!"
4,Цербер,Военная станция МК под строгой секретностью. Доступ запрещен.
1,Колосс,Строительная верфь для космических кораблей земного типа. 
2,Ржавчина,Заброшенная корпоративная станция закрытая для посещения.
1,Костёр,"Суперполис вокруг станции гашения, известный своими регулярными тематическими ярмарками. Излюбленное место встреч торговцев, законных и не слишком. Повышенный таможенный контроль."
1,Тень Земли,Основная колония на стандартной планете земного типа. Подчиняется УЛК (Управление Лунных Колоний).
1,Предел,Автономная станция на границе войда. 
0,Фантомика,"Ксеномир, закрыт для посещения"
1,Лабиринт,Вультрианская торговая верфь.
1,Пламя Прометея,"Экспериментальная станция 2958 года постройки, посвященная двухсотлетней победе в войне с ззоанцами, питаемая термоядерным реактором с компактным солнцем."
1,Хронос,"Спутник газового гиганта, знаменитый своими радужными закатами. Частая остановка в свадебных путешествиях (обручившимся на станции бесплатно предоставляется номер люкс и однодневный круиз по достопримечательностям). "
5,Сердце Звезды,"Экспериментальная станция центавриан с нестабильным оборудованием. Требует особое оборудование для посещения, не рекомендуется покидать корабль. Подходит для автоматического гашения."
1,Оракул,Планета земного типа со стандартной атмосферой. Здесь расположена одна из научных станций центавриан. 
1,Ледяной Гигант,Ледяная планета со станцией гашения на орбите. На планете располагаются научная станция и горнодобывающий комплекс. Отзыв на космокартах: ребят ну нахер не ведитесь на бабки
1,Квантовый Мост,"Бывшая станция ктрангов, окупированная мусорщиками и охотниками за удачей. Несмотря на полуразобранный вид, их станции гашения до сих пор в идеальном состоянии. Осторожно: иногда поступают новости о нападении пиратов в околокосмическом пространстве."
0,Некромант,Спрятанная от МК станция работорговцев.
1,Колыбель,"Планета типа Земля-2, с ограниченным доступом для ксеносов. "
3,Олимп,"Искусственный спутник, элитный курорт с искусственной гравитацией и гало-оранжереями. Известен весьма широким выбором экзотических удовольствий и очень строгим контролем посещения. Частная станция гашения"
3,Коготь,Верфь на этапе строения. Предположительно имеет станцию гашения.
5,Прометей-7,"Горнодобывающий комплекс на астероиде Паллада. Добывает редкоземельные металлы с помощью роботизированных буров, экипаж работает вахтовым методом — 2 года в космосе, 1 на Земле. На небольшой станции есть гаситель для двигателя, но последние новости со станции приходили более 4 месяцев назад."
0,Бета-Солярис,"Ксеномир, закрыт для посещения"
0,Книсс-Гор,"Ксеномир, закрыт для посещения"
3,Вальхалла,Планета в частной собственности с собственной станцией гашения. Владелец - П. Д. Шварц-Чжоу Дж. 
1,Бездна,Автономная станция гашения.
0,Велссари,"Ксеномир, закрыт для посещения"
1,Призрак,"Спутник ззоанского мира, открытый для посещения. Спуск на планету строжайше запрещен!"
1,Феникс-2,"Восстановленная версия печально сгоревшей станции «Феникс», которая недавно открылась. Скидка 30% на все услуги! "
