status,name,description
0,"Nulevaya","nul"
2,"Орбита Альфа","Крупнейшая орбитальная станция Солнечной системы. Служит торговым хабом и научным центром. Оснащена гравитационными модулями последнего поколения."
2,"Прометей-7","Горнодобывающий комплекс на астероиде Паллада. Добывает редкоземельные металлы с помощью роботизированных буров. Экипаж работает вахтовым методом — 2 года в космосе, 1 на Земле."
4,"Кибернетический Узел","Секретный исследовательский центр по разработке ИИ. Все сотрудники подписали пожизненное соглашение о неразглашении. По слухам, здесь тестируют боевые нейросети."
5,"Гелиос-1","Солнечная электростанция на геостационарной орбите. Передает энергию на Землю via микроволновые лучи. Часто атакуется космическими пиратами из-за запасов плазмы."
5,"Терра Нова","Первая станция у Проксимы Центавра. Колонисты изучают экзопланеты в зоне обитаемости. Жизнь поддерживается криогенными капсулами и замкнутым циклом рециклинга."
4,"Вальхалла","Тюремная станция на орбите Юпитера. Содержит особо опасных преступников в условиях нулевой гравитации. Побег невозможен из-за магнитных полей и дронов-охранников."
3,"Нексус","Нейтральный торговый хаб для всех космических фракций. Здесь можно купить всё — от легальных медикаментов до украденных чертежей. Управляется синдикатом «Три Кольца»."
4,"Око Сатурна","Обсерватория для изучения колец Сатурна. Зафиксировала аномальные гравитационные волны. Экипаж состоит из 12 ученых, работающих в полной изоляции."
1,"Звезда Пандоры","Биолаборатория, создающая синтетические организмы. Эксперименты засекречены. Ходят слухи о побеге образца «Х-12» — химеры с ДНК кальмара и тихоходки."
1,"Квантовый Мост","Испытывает варп-двигатели малой мощности. Экипаж страдает от «прыжковой болезни» — побочного эффекта подпространственных скачков. Станция окружена мерцающим гало."
5,"Тень Луны","Секретная база земного правительства. Резервный центр управления на случай апокалипсиса. Доступ через скрытые шахты на обратной стороне Луны."
2,"Олимп","Элитный курорт с искусственной гравитацией и парками. Билеты стоят как небольшой корабль. Гостей развлекают андроиды и голографические сафари."
4,"Химера","Генетический банк гибридных организмов. Создана для терраформирования, но эксперименты вышли из-под контроля. В вентиляции слышны царапины неизвестных существ."
3,"Рейнджер-5","Метеоритный патруль с лазерными пушками. Уничтожает астероиды, угрожающие Земле. Экипаж — 4 человека в годовой изоляции."
5,"Черный Кварц","Пиратская база в поясе астероидов. Производит нелегальное оружие и поддельные ID-чипы. Полиция безуспешно штурмовала станцию 3 раза."
3,"Глаз Галактики","Исследует черную дыру средней массы. Ученые пытаются использовать сингулярность как источник энергии. Последний сигнал: «Она смотрит на нас»."
1,"Сердце Звезды","Питается от искусственной мини-звезды. Технология нестабильна — случаются радиационные всплески. Персонал носит экзокостюмы с свинцовой прослойкой."
